accession	gene	description	ppid	organism	logFC	AveExpr	t	P.Value	adj.P.Val	B	count	sca.t	sca.P.Value	sca.adj.pval
A0A024QZX5	SERPINB6	A0A024QZX5_HUMAN Serpin family B member 6 	UP000005640	Homo sapiens	-0.7237928214003544	0.04607327441567334	-2.2419327224114003	0.026686266328283755	0.04365599466011547	-4.720364752364702	1.0	-2.208838552885147	0.028843926380311316	0.04647077027939046
A0A024R0K5	CEACAM5	A0A024R0K5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5 	UP000005640	Homo sapiens	-0.3412328664862774	1.961436616011825	-1.871868989473491	0.06350557733487178	0.09250355785307807	-5.458507899918807	8.0	-1.8869104991915562	0.06128366090875992	0.09050688810136302
A0A024R6I7	SERPINA1	A0A024R6I7_HUMAN Alpha-1-antitrypsin 	UP000005640	Homo sapiens	1.0514321903479962	-1.1115675414234922	2.8589137575324606	0.004964112888602551	0.010022481085216542	-3.220987987617805	1.0	2.847756868981963	0.005079979233137454	0.010321741244400306
A0A075B6P5	IGKV2-28	KV228_HUMAN Immunoglobulin kappa variable 2-28 	UP000005640	Homo sapiens	0.7918233161127842	-0.43588665676489524	3.685721311672306	0.0003354239417515929	0.0008425215544784105	-0.7226182713409255	2.0	3.6299014691644986	0.00039911987624771645	0.0010025137049056814
A0A075B6S2	IGKV2D-29	KVD29_HUMAN Immunoglobulin kappa variable 2D-29 	UP000005640	Homo sapiens	-0.8851510021007141	0.7663406300349226	-2.88744078033606	0.004560744649149281	0.009386306729539487	-3.1438464317466295	1.0	-2.8302608250813064	0.0053497423984783495	0.010657508920981754
A0A075B6S6	IGKV2D-30	KVD30_HUMAN Immunoglobulin kappa variable 2D-30 	UP000005640	Homo sapiens	1.2929751758413353	1.3305460576777162	3.7310060565673098	0.0002854449881778279	0.0007343302518445735	-0.5707271286669791	1.0	3.6991026783548593	0.00031204977902413313	0.0007963510360695878
A0A075B7B8	IGHV3OR16-12	A0A075B7B8_HUMAN Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment) 	UP000005640	Homo sapiens	-0.051802680780140054	-0.4104253417205629	-0.16490249701254067	0.869280714224278	0.8974127761732839	-7.176960284806105	1.0	-0.16203872328646254	0.8715135789761762	0.899717901920389
A0A087WU13	CD9	A0A087WU13_HUMAN Tetraspanin 	UP000005640	Homo sapiens	-0.5735961069601246	0.11867875847611596	-1.9734599330446374	0.05059608379340959	0.07613278646272481	-5.268279080645213	2.0	-1.9869653540558596	0.048916423387618105	0.07360537292759517
A0A087WVM2	CD177	A0A087WVM2_HUMAN CD177 molecule 	UP000005640	Homo sapiens	-0.36037942047017524	-0.07057261731825289	-1.3654992077391501	0.17448966010866596	0.22000870187614405	-6.263015785246847	2.0	-1.3669553909653407	0.1738732802168384	0.2192315272299267
A0A087WXI2	FCGBP	A0A087WXI2_HUMAN Fc gamma binding protein 	UP000005640	Homo sapiens	-1.2115760915012799	0.5253955787518736	-4.459312694150006	1.777658149726911e-05	6.371606177111063e-05	2.0682996380402088	3.0	-4.493788926152373	1.4726803920148651e-05	5.338466421053886e-05
A0A0A0MR02	VDAC2	A0A0A0MR02_HUMAN Voltage dependent anion channel 2 (Fragment) 	UP000005640	Homo sapiens	0.03510102821841521	3.4423125247703887	0.10709977995651836	0.9148774060878249	0.9324149921470164	-7.184837600417401	1.0	0.10566708909575565	0.9160007146794151	0.93355983381065
A0A0A0MRZ8	IGKV3D-11	KVD11_HUMAN Immunoglobulin kappa variable 3D-11 	UP000005640	Homo sapiens	0.2221711915384028	0.20022310224943357	1.0744948270336647	0.2846211025719411	0.3413313222573279	-6.614653434721494	2.0	1.054235978424379	0.29362655474484045	0.35213109384813573
